"status","frontend_method","frontend_endpoint","backend_method","backend_endpoint","backend_controller","backend_action","frontend_files"
"matched","PUT","/api/sucursales/{sucursalData.Id}","PUT","/api/Sucursales/{id:guid}","SucursalesController","PutAsync","Facturacion.Frontend/Pages/Sucursales.cshtml.cs:159"
"matched","PUT","/api/terminales/{terminal.Id}","PUT","/api/Terminales/{id:guid}","TerminalesController","PutAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:570; Facturacion.Frontend/Pages/Terminales.cshtml.cs:173"
"matched","PUT","/api/usuarios/{usuarioId}","PUT","/api/Usuarios/{id}","UsuariosController","PutAsync","Facturacion.Frontend/Pages/Usuarios.cshtml.cs:196"
"method_mismatch","GET","/api/cabys/buscar?termino={termino}","POST","/api/Cabys/buscar","CabysController","BuscarAsync","Facturacion.Frontend/Pages/MantenimientoCabys.cshtml.cs:71"
"method_mismatch","GET","/api/categorias","POST","/api/Categorias","CategoriasController","PostAsync","Facturacion.Frontend/Pages/AsignarProductosSucursal.cshtml.cs:73; Facturacion.Frontend/Pages/Categorias.cshtml.cs:49; Facturacion.Frontend/Pages/ReporteProductos.cshtml.cs:105"
"method_mismatch","GET","/api/gastos","POST","/api/Gastos","GastosController","PostAsync","Facturacion.Frontend/Pages/Gasto.cshtml.cs:43"
"method_mismatch","GET","/api/proveedores","POST","/api/Proveedores","ProveedoresController","PostAsync","Facturacion.Frontend/Pages/Gasto.cshtml.cs:193; Facturacion.Frontend/Pages/Proveedores.cshtml.cs:45"
"unmatched","DELETE","/api/inventario/desasignar-producto/{asignacionId}","","","","","Facturacion.Frontend/Pages/AsignarProductosSucursal.cshtml.cs:192"
"unmatched","DELETE","/api/seguridad/cerrar-sesion/{sesionId}","","","","","Facturacion.Frontend/Pages/Seguridad.cshtml.cs:163"
"unmatched","GET","/api/cabys","","","","","Facturacion.Frontend/Pages/MantenimientoCabys.cshtml.cs:42"
"unmatched","GET","/api/catalogos/codigos-tarifas-iva","","","","","Facturacion.Frontend/Pages/CodigosTarifasIVA.cshtml.cs:42"
"unmatched","GET","/api/catalogos/formas-farmaceuticas","","","","","Facturacion.Frontend/Pages/Facturacion.cshtml.cs:573; Facturacion.Frontend/Pages/FormasFarmaceuticas.cshtml.cs:43"
"unmatched","GET","/api/catalogos/formas-pago","","","","","Facturacion.Frontend/Pages/FormasPago.cshtml.cs:42"
"unmatched","GET","/api/catalogos/monedas","","","","","Facturacion.Frontend/Pages/Monedas.cshtml.cs:42"
"unmatched","GET","/api/catalogos/tipos-codigos-producto","","","","","Facturacion.Frontend/Pages/TiposCodigosProducto.cshtml.cs:42"
"unmatched","GET","/api/catalogos/tipos-documentos","","","","","Facturacion.Frontend/Pages/TiposDocumentos.cshtml.cs:42"
"unmatched","GET","/api/catalogos/tipos-exoneracion","","","","","Facturacion.Frontend/Pages/TiposExoneracion.cshtml.cs:42"
"unmatched","GET","/api/catalogos/tipos-identificacion","","","","","Facturacion.Frontend/Pages/TiposIdentificacion.cshtml.cs:42"
"unmatched","GET","/api/catalogos/tipos-otros-cargos","","","","","Facturacion.Frontend/Pages/TiposOtrosCargos.cshtml.cs:42"
"unmatched","GET","/api/catalogos/tipos-referencias","","","","","Facturacion.Frontend/Pages/TiposReferencias.cshtml.cs:42"
"unmatched","GET","/api/correo/configuracion","","","","","Facturacion.Frontend/Pages/ConfiguracionCorreo.cshtml.cs:43"
